SID,Grade,late_mins,leave_early_mins,duration,duration_pct,present_sessions,joined_sessions,duration_std,score_avg_1,score_avg_2,score_avg_1_pctile,score_avg_2_pctile,quiz_completion_pct,has_quiz_data,called_on_days,response_pct,success_call_days,call_pctile,days_to_end,dropout
25000044,Grade 3,7,30.33333333,13.33333333,25.80643539,1,3,15.30795,,,,,,0,4,100,4,78.7796,101,TRUE
00002547,EFL K5,1.941176471,2.220588235,56.14705882,93.03392682,66,34,10.59183677,,,,,,0,4,100,4,78.7796,1,FALSE
19040015,Grade 3,8.945205479,3.931506849,42.61643836,77.14497925,63,30,17.1226216,,,,,,0,0,0,0,18.51851852,190,TRUE
19040020,Grade 9-12,10.45454545,4.636363636,43.09090909,74.11951663,10,9,16.70601416,51.57081169,51.57081169,97.58148893,85.51509054,100,1,0,0,0,46.29014169,114,TRUE
19040024,Grade 9-12,10.32631579,9.926315789,40.03157895,66.73436432,79,55,18.63390449,45.15275126,54.77738367,81.26985009,77.88679229,82.85509536,1,0,0,0,46.29014169,7,FALSE
19040025,Grade 9-12,28.09090909,36.72727273,23.72727273,26.16279437,3,9,24.92424887,9.943826326,25.90690476,39.41369216,39.95330618,30.11241761,1,0,0,0,46.29014169,220,TRUE
19040026,Grade 9-12,27.61137441,19.86729858,16.25118483,25.15024989,76,66,18.71689932,22.01968194,50.76212121,64.22362325,72.60085325,43.62373737,1,0,0,0,46.29014169,22,FALSE
19040041,Grade 9-12,3,6,51,85,1,1,,0,0,15.28631621,15.28631621,16.64283331,1,0,0,0,46.29014169,266,TRUE
19040046,Grade 9-12,18.88288288,11.38738739,27.09009009,44.31172045,58,46,25.6488701,2.497222222,14.98333333,32.31382144,32.31382144,15.90909091,1,5,50,5,71.14243121,140,TRUE
19040054,Grade 9-12,22.28688525,8.950819672,35.07377049,53.30758115,92,79,22.24141325,10.06251376,28.25696911,39.06735166,40.25732401,28.95501021,1,3,22.22222222,2,57.9968466,3,FALSE
19040068,Grade 9-12,10.46666667,3.083333333,46.56666667,77.67290471,57,22,15.77636794,21.16518018,27.07086667,52.02809892,46.75515399,53.58020358,1,0,0,0,46.29014169,189,TRUE
19040075,Grade 9-12,3.559241706,13.20379147,49.31753555,76.10228849,195,114,15.30075086,51.82962787,67.68069494,76.25881459,72.81799045,77.69108394,1,18,50,18,73.35808852,1,FALSE
19040097,Grade 6,15.33333333,1.840909091,43.64393939,71.54176389,127,84,13.43013166,23.20877664,57.11033392,48.26488095,48.23511905,38.63206437,1,0,0,0,35.32994116,23,FALSE
19040109,Grade 8,12.48120301,7.218045113,40.23308271,66.87894563,116,82,16.73450763,44.73765491,70.11863556,61.2095775,59.06731971,60.27899192,1,0,0,0,38.21848308,1,FALSE
19040127,Grade 9-12,16.5,5.7,56.4,68.33976876,8,9,33.38728966,15.02325643,29.04862587,53.55585182,54.8035652,44.5970321,1,0,0,0,46.29014169,57,TRUE
